Name,Comment,Time,Likes,Reply Count
Its Wheetie,"Sorry, I had to comment because the YouTube gods decided to drop a video in my algorithms about masculinity from a dude with a man bun... That's all..",2021-11-24T00:02:22Z,0,0
JohnLeBleu,youtubes audience isn't 80% male but 56%.,2021-11-22T20:03:45Z,0,0
Ellie Lee,This extract is taken from 1:18:21 - 1:27:46 of the podcast Kindness VS Power | Under The Skin #46 https://www.youtube.com/watch?v=kL61yQgdWeM&t=0s.,2021-11-22T12:54:31Z,0,0
MD PhD etc,"Western ideas of masculinity mostly go back to Sparta, although as Jordan frequently point out the masculine architype of the warrior that Jung described comes up in other cultures as well.  See: https://www.youtube.com/watch?v=-KIAolQ2NHs&t=171s",2021-11-19T05:43:48Z,0,0
Hi There,I love me a strong manly man. Glad I married before these newer cheaper made models.,2021-11-16T19:44:54Z,0,0
Radio Free Merctown,"Brand is clever, especially given his lack of education, but the limits of his intellect are clearly evident in the company of a mind like Peterson's. Just an observation, not a condemnation--I'd likely seem no better.",2021-11-16T19:25:08Z,0,0
Bubba Gump,It’s bloody lovely,2021-11-15T11:16:53Z,0,0
Rebecka Svensson,"Russel Brand, I would love to chat with you! Wow, the things you say are so on point, deep, beyond boundaries, you say the things Im thinking and you are not afraid of it, you put words on thoughts and experiences I have about society and life and just deliver it in a nice package, its just like magic. You are so intellectual, and everytime I listen to you I feel validated! Awesome!",2021-11-14T22:55:34Z,0,0
Knowledge is Power,"It was a bit 'car crash tv' but there was a programme a while back called 'Young, Dumb and Living with Mum' which stuck a group of 18 yr olds in a house together and monitored them.  Most (all?) were coming from homes where their parents were in despair over their Childs' 'laziness' or inability to cope with the most basic tasks.  It was truly shocking to see 18yr olds asking for advice on how to heat up a tin of beans or turn on a washing machine. It suggested the kind of parenting Jordan speaks of here.   I don't want to point fingers - people can slip into habits, or make a simple mistake that just snowballs - but really if a child from a supposedly stable home is reaching 18 with no idea how to make a meal for itself or wash its own clothes the parents have to take a look at themselves!  You are not helping your children by smothering them with care and leaving them unable to take care of themselves (even if you're rich and think you'll always be able to pay someone to do things for you, you should still know how to take care of essential needs.  Never say never.",2021-11-13T22:53:21Z,0,0
Kancho Komancho,"Men who are strong and stable, determined and decisive, assertive and independent, brave and resilient, disciplined and responsible, dignified and physical are becoming rarer and rarer in the western world, and those who are controlled and tamed, fragile and soft, non-physical and dependent are more and more common

https://youtu.be/-IkOTtW5aaI

#ResistTaming",2021-11-10T17:55:04Z,0,0
